,user_id,label
0,4,3
1,5,1
2,6,3
3,8,1
4,9,2
5,10,1
6,11,1
7,12,1
8,16,1
9,18,1
10,20,3
11,23,0
12,25,3
13,30,3
14,32,1
15,33,0
16,34,3
17,39,1
18,41,1
19,44,1
20,45,0
21,47,3
22,49,3
23,51,3
24,53,1
25,55,2
26,60,3
27,61,0
28,66,3
29,68,1
30,69,3
31,73,3
32,74,1
33,78,3
34,79,1
35,81,3
36,83,3
37,84,3
38,85,3
39,88,3
40,92,3
41,95,1
42,97,0
43,100,3
44,102,1
45,104,3
46,105,3
47,106,2
48,108,1
49,109,1
50,111,1
51,113,3
52,114,1
53,116,3
54,119,3
55,120,3
56,124,1
57,130,1
58,134,3
59,135,3
60,136,1
61,137,2
62,139,3
63,141,3
64,144,3
65,145,3
66,148,1
67,156,3
68,157,3
69,158,3
70,159,1
71,165,3
72,166,3
73,167,2
74,169,1
75,170,3
76,171,2
77,172,3
78,176,3
79,178,3
80,179,3
81,180,1
82,183,0
83,185,3
84,186,3
85,188,2
86,191,3
87,192,3
88,193,3
89,196,3
90,198,3
91,199,3
92,201,3
93,203,3
94,207,3
95,211,1
96,213,1
97,215,3
98,218,3
99,224,3
100,228,3
101,231,1
102,237,3
103,238,2
104,239,1
105,240,3
106,244,3
107,245,1
108,246,3
109,247,3
110,252,0
111,253,3
112,255,1
113,259,3
114,261,3
115,263,3
116,265,3
117,266,3
118,269,0
119,277,3
120,282,3
121,283,3
122,285,3
123,286,0
124,288,3
125,291,3
126,292,1
127,293,1
128,296,3
129,298,0
130,303,3
131,305,1
132,308,3
133,312,3
134,314,3
135,315,1
136,317,0
137,318,3
138,319,3
139,320,1
140,325,1
141,326,3
142,329,3
143,330,0
144,331,0
145,333,3
146,335,3
147,338,3
148,339,3
149,340,1
150,343,3
151,345,3
152,346,3
153,347,3
154,349,3
155,354,3
156,356,3
157,357,1
158,358,3
159,360,3
160,361,0
161,366,1
162,367,2
163,368,3
164,371,3
165,375,0
166,376,2
167,377,1
168,378,3
169,385,1
170,386,3
171,387,3
172,392,3
173,394,2
174,395,0
175,397,3
176,399,3
177,400,3
178,401,1
179,402,3
180,404,3
181,405,3
182,406,1
183,407,2
184,408,3
185,412,1
186,414,3
187,415,1
188,416,3
189,418,1
190,421,3
191,424,3
192,425,1
193,427,3
194,428,3
195,430,3
196,433,3
197,434,3
198,445,3
199,446,3
200,447,3
201,455,1
202,456,3
203,457,1
204,460,3
205,461,3
206,463,1
207,467,3
208,468,3
209,469,3
210,471,0
211,472,3
212,477,3
213,478,0
214,488,2
215,489,1
216,490,3
217,491,1
218,492,3
219,493,1
220,494,2
221,499,3
222,500,3
223,501,2
224,502,2
225,504,3
226,505,3
227,506,3
228,507,2
229,511,3
230,512,1
231,513,3
232,514,3
233,517,3
234,518,3
235,521,3
236,524,1
237,526,2
238,527,3
239,530,1
240,532,1
241,533,1
242,534,3
243,536,1
244,537,3
245,540,1
246,541,3
247,542,3
248,544,3
249,545,1
250,546,3
251,548,3
252,550,2
253,554,1
254,556,1
255,557,1
256,561,3
257,563,3
258,565,3
259,569,3
260,570,1
261,571,1
262,572,3
263,575,3
264,576,3
265,577,1
266,578,3
267,579,3
268,581,3
269,584,3
270,586,3
271,589,1
272,590,3
273,591,3
274,592,3
275,594,3
276,595,3
277,597,1
278,598,3
279,600,2
280,602,3
281,603,2
282,605,2
283,610,2
284,614,3
285,615,3
286,619,3
287,620,0
288,621,2
289,622,3
290,624,3
291,625,2
292,627,3
293,628,2
294,629,3
295,631,0
296,632,3
297,633,3
298,639,2
299,640,1
300,642,3
301,644,3
302,648,1
303,654,3
304,656,2
305,659,3
306,663,3
307,664,3
308,666,3
309,670,1
310,671,2
311,673,1
312,674,1
313,677,3
314,679,3
315,680,3
316,681,1
317,683,2
318,685,1
319,686,3
320,689,1
321,693,3
322,694,1
323,695,1
324,697,3
325,698,1
326,700,3
327,701,3
328,704,1
329,705,3
330,709,2
331,711,3
332,712,3
333,716,2
334,717,3
335,718,3
336,722,1
337,724,1
338,726,3
339,733,3
340,734,2
341,736,2
342,738,1
343,739,0
344,740,2
345,743,3
346,744,3
347,746,3
348,747,1
349,748,1
350,750,3
351,751,3
352,753,1
353,757,3
354,759,3
355,760,3
356,761,1
357,763,3
358,764,2
359,765,0
360,770,3
361,771,3
362,775,3
363,776,3
364,779,1
365,781,3
366,782,1
367,783,3
368,784,1
369,788,3
370,790,3
371,792,2
372,793,3
373,794,3
374,796,0
375,801,3
376,802,1
377,803,1
378,805,1
379,808,3
380,810,3
381,811,3
382,813,3
383,814,3
384,815,3
385,816,2
386,819,3
387,820,1
388,821,1
389,822,0
390,823,3
391,826,3
392,827,3
393,828,3
394,829,3
395,830,1
396,832,1
397,835,3
398,837,1
399,843,3
400,846,2
401,850,3
402,851,3
403,856,3
404,859,2
405,861,3
406,862,3
407,865,3
408,867,3
409,869,3
410,871,3
411,872,1
412,873,2
413,875,3
414,876,1
415,878,3
416,882,3
417,884,2
418,887,0
419,889,3
420,895,3
421,897,1
422,900,2
423,901,3
424,902,1
425,903,1
426,904,3
427,905,1
428,906,1
429,908,2
430,909,3
431,912,3
432,916,3
433,918,3
434,920,3
435,922,1
436,925,3
437,926,3
438,927,3
439,928,3
440,929,1
441,930,3
442,931,0
443,934,3
444,936,3
445,939,3
446,940,0
447,943,3
448,944,3
449,949,3
450,951,3
451,952,3
452,955,0
453,965,3
454,967,3
455,970,3
456,974,1
457,976,1
458,981,3
459,983,1
460,987,3
461,988,3
462,989,3
463,991,3
464,996,3
465,1000,1
466,1001,0
467,1003,2
468,1006,3
469,1007,3
470,1008,3
471,1010,3
472,1011,1
473,1012,3
474,1014,3
475,1016,2
476,1017,3
477,1020,3
478,1025,1
479,1026,3
480,1028,3
481,1030,0
482,1032,2
483,1033,1
484,1034,1
485,1037,2
486,1039,3
487,1040,2
488,1042,1
489,1045,1
490,1046,2
491,1048,3
492,1053,3
493,1054,2
494,1057,2
495,1061,3
496,1063,3
497,1064,1
498,1065,1
499,1068,3
500,1069,1
501,1070,3
502,1071,3
503,1073,3
504,1074,1
505,1076,3
506,1078,1
507,1079,3
508,1081,3
509,1082,3
510,1085,3
511,1086,3
512,1087,3
513,1090,3
514,1091,1
515,1092,3
516,1093,1
517,1094,3
518,1097,3
519,1098,3
520,1099,3
521,1100,3
522,1103,3
523,1104,3
524,1105,1
525,1106,3
526,1110,3
527,1113,3
528,1114,0
529,1117,3
530,1119,3
531,1121,0
532,1123,0
533,1125,3
534,1127,3
535,1128,0
536,1129,2
537,1131,3
538,1133,0
539,1135,3
540,1143,1
541,1144,1
542,1145,1
543,1146,3
544,1148,2
545,1149,3
546,1151,2
547,1152,0
548,1153,3
549,1154,3
550,1159,3
551,1160,0
552,1167,3
553,1168,2
554,1172,1
555,1174,1
556,1175,1
557,1182,1
558,1183,3
559,1184,1
560,1187,2
561,1189,3
562,1190,2
563,1192,0
564,1193,2
565,1194,3
566,1195,1
567,1198,3
568,1200,3
569,1201,3
570,1205,0
571,1207,3
572,1208,1
573,1209,3
574,1211,3
575,1214,3
576,1218,3
577,1222,1
578,1223,1
579,1226,1
580,1227,3
581,1228,1
582,1229,1
583,1230,3
584,1233,3
585,1235,1
586,1239,2
587,1245,1
588,1247,3
589,1248,1
590,1253,3
591,1255,3
592,1256,3
593,1257,3
594,1262,3
595,1265,3
596,1268,1
597,1269,3
598,1273,3
599,1275,3
600,1277,3
601,1278,1
602,1279,1
603,1282,3
604,1286,2
605,1287,3
606,1288,2
607,1289,1
608,1294,1
609,1295,3
610,1297,1
611,1298,3
612,1299,1
613,1300,1
614,1302,1
615,1303,2
616,1304,0
617,1305,3
618,1306,2
619,1307,0
620,1308,3
621,1312,1
622,1316,3
623,1317,3
624,1318,1
625,1319,1
626,1322,3
627,1323,3
628,1324,1
629,1325,3
630,1326,3
631,1329,3
632,1330,3
633,1333,2
634,1336,3
635,1337,1
636,1339,1
637,1341,3
638,1342,3
639,1343,3
640,1351,1
641,1353,1
642,1354,3
643,1357,3
644,1358,1
645,1362,2
646,1364,3
647,1366,3
648,1367,3
649,1369,1
650,1370,0
651,1371,3
652,1374,1
653,1376,1
654,1380,3
655,1383,3
656,1384,3
657,1385,3
658,1389,3
659,1392,3
660,1393,3
661,1394,3
662,1395,2
663,1399,3
664,1403,1
665,1407,3
666,1411,1
667,1413,1
668,1416,3
669,1419,3
670,1421,3
671,1422,3
672,1423,2
673,1425,1
674,1429,2
675,1431,1
676,1434,0
677,1435,3
678,1437,3
679,1441,0
680,1442,3
681,1445,1
682,1446,1
683,1448,3
684,1449,1
685,1450,3
686,1452,1
687,1455,3
688,1457,3
689,1458,3
690,1459,2
691,1460,1
692,1462,3
693,1463,1
694,1465,2
695,1467,3
696,1469,3
697,1470,3
698,1471,3
699,1472,1
700,1474,3
701,1475,3
702,1485,3
703,1488,3
704,1491,3
705,1492,3
706,1495,0
707,1499,1
708,1500,2
709,1502,3
710,1507,3
711,1508,2
712,1512,3
713,1514,3
714,1515,3
715,1516,3
716,1517,1
717,1518,1
718,1522,3
719,1524,1
720,1525,3
721,1528,3
722,1529,3
723,1533,1
724,1534,2
725,1536,3
726,1539,3
727,1543,3
728,1552,1
729,1554,3
730,1555,1
731,1557,3
732,1560,3
733,1561,3
734,1562,1
735,1565,3
736,1567,3
737,1568,3
738,1569,1
739,1572,3
740,1573,3
741,1576,1
742,1577,2
743,1578,3
744,1582,2
745,1583,3
746,1585,3
747,1586,1
748,1587,2
749,1588,0
750,1590,3
751,1591,3
752,1594,3
753,1596,2
754,1598,3
755,1600,1
756,1601,3
757,1604,3
758,1605,3
759,1612,3
760,1616,3
761,1618,1
762,1619,3
763,1624,2
764,1626,3
765,1628,3
766,1630,1
767,1631,1
768,1632,1
769,1633,2
770,1637,0
771,1639,3
772,1641,2
773,1643,3
774,1645,1
775,1649,3
776,1651,2
777,1652,1
778,1653,1
779,1655,0
780,1656,1
781,1660,3
782,1663,1
783,1664,3
784,1668,3
785,1669,1
786,1674,2
787,1675,1
788,1678,1
789,1681,1
790,1684,3
791,1686,3
792,1687,1
793,1688,3
794,1689,3
795,1690,3
796,1691,2
797,1692,3
798,1693,3
799,1694,3
800,1696,3
801,1700,3
802,1701,3
803,1708,3
804,1709,3
805,1710,3
806,1711,2
807,1713,3
808,1714,3
809,1717,3
810,1718,3
811,1720,3
812,1723,3
813,1726,3
814,1728,3
815,1731,3
816,1733,3
817,1734,1
818,1736,3
819,1740,3
820,1744,3
821,1745,1
822,1747,3
823,1756,3
824,1757,3
825,1760,1
826,1761,3
827,1762,3
828,1765,3
829,1771,2
830,1773,1
831,1774,3
832,1775,3
833,1777,2
834,1780,3
835,1783,0
836,1785,1
837,1786,3
838,1792,2
839,1794,3
840,1796,1
841,1797,2
842,1799,3
843,1800,3
844,1801,3
845,1804,3
846,1805,3
847,1806,0
848,1807,3
849,1808,3
850,1810,2
851,1816,3
852,1818,1
853,1821,0
854,1823,1
855,1826,1
856,1827,1
857,1829,3
858,1834,2
859,1835,3
860,1836,1
861,1839,0
862,1841,1
863,1843,3
864,1845,2
865,1846,1
866,1848,1
867,1849,3
868,1852,1
869,1853,1
870,1854,3
871,1855,3
872,1856,2
873,1857,1
874,1858,0
875,1860,3
876,1864,3
877,1867,3
878,1869,1
879,1870,3
880,1873,3
881,1875,2
882,1876,3
883,1877,1
884,1878,3
885,1880,3
886,1881,3
887,1883,3
888,1891,2
889,1893,2
890,1894,3
891,1895,3
892,1896,3
893,1897,3
894,1898,3
895,1900,3
896,1902,3
897,1903,2
898,1904,3
899,1905,1
900,1906,3
901,1907,1
902,1908,3
903,1910,1
904,1913,3
905,1917,3
906,1919,3
907,1921,2
908,1922,3
909,1931,3
910,1932,1
911,1934,3
912,1938,1
913,1940,3
914,1942,3
915,1944,3
916,1947,3
917,1949,1
918,1950,3
919,1952,2
920,1954,3
921,1956,1
922,1957,0
923,1959,3
924,1961,1
925,1962,3
926,1963,1
927,1964,3
928,1968,2
929,1969,1
930,1970,1
931,1974,1
932,1975,1
933,1985,3
934,1986,0
935,1988,1
936,1989,2
937,1994,3
938,1995,3
939,1999,3
940,2003,3
941,2005,1
942,2008,3
943,2009,1
944,2014,1
945,2015,1
946,2018,3
947,2020,3
948,2023,3
949,2025,1
950,2027,3
951,2028,3
952,2029,2
953,2030,0
954,2035,3
955,2036,3
956,2040,3
957,2042,3
958,2043,3
959,2046,1
960,2047,1
961,2048,3
962,2052,3
963,2054,3
964,2059,3
965,2060,3
966,2063,1
967,2064,3
968,2065,3
969,2066,3
970,2067,3
971,2069,3
972,2073,3
973,2074,3
974,2077,1
975,2079,0
976,2080,3
977,2084,3
978,2088,2
979,2089,3
980,2091,1
981,2092,3
982,2093,3
983,2096,3
984,2097,3
985,2104,3
986,2106,3
987,2107,1
988,2109,3
989,2110,3
990,2113,3
991,2120,1
992,2123,3
993,2125,3
994,2126,3
995,2128,0
996,2129,2
997,2131,1
998,2132,1
999,2133,3
1000,2136,2
1001,2137,3
1002,2138,3
1003,2139,3
1004,2140,1
1005,2141,3
1006,2146,3
1007,2147,3
1008,2148,3
1009,2149,3
1010,2152,3
1011,2154,1
1012,2155,3
1013,2158,3
1014,2159,3
1015,2161,1
1016,2164,3
1017,2167,3
1018,2170,3
1019,2172,3
1020,2173,3
1021,2174,3
1022,2176,2
1023,2177,1
1024,2179,3
1025,2181,3
1026,2182,3
1027,2186,3
1028,2187,1
1029,2188,0
1030,2189,1
1031,2191,1
1032,2195,1
1033,2196,3
1034,2197,3
1035,2198,2
1036,2203,3
1037,2204,1
1038,2205,1
1039,2207,1
1040,2208,3
1041,2209,2
1042,2210,1
1043,2213,1
1044,2214,2
1045,2219,3
1046,2220,3
1047,2222,3
1048,2223,2
1049,2224,3
1050,2226,1
1051,2227,1
1052,2228,2
1053,2236,3
1054,2238,2
1055,2239,1
1056,2240,3
1057,2247,2
1058,2248,1
1059,2250,2
1060,2251,1
1061,2256,3
1062,2260,1
1063,2261,3
1064,2263,2
1065,2264,3
1066,2265,3
1067,2266,3
1068,2269,3
1069,2271,3
1070,2272,3
1071,2273,1
1072,2274,2
1073,2277,3
1074,2283,1
1075,2284,3
1076,2287,1
1077,2288,3
1078,2290,1
1079,2295,0
1080,2296,3
1081,2299,3
1082,2300,2
1083,2302,3
1084,2306,3
1085,2308,3
1086,2314,3
1087,2317,1
1088,2318,3
1089,2319,2
1090,2320,3
1091,2323,0
1092,2324,3
1093,2326,3
1094,2330,0
1095,2331,3
1096,2333,1
1097,2337,3
1098,2338,1
1099,2339,3
1100,2340,0
1101,2343,1
1102,2346,2
1103,2347,3
1104,2348,0
1105,2351,3
1106,2352,1
1107,2353,3
1108,2356,1
1109,2358,3
1110,2359,3
1111,2360,1
1112,2363,1
1113,2364,2
1114,2367,3
1115,2368,3
1116,2369,3
1117,2370,2
1118,2372,2
1119,2373,2
1120,2376,3
1121,2378,1
1122,2379,2
1123,2380,0
1124,2384,3
1125,2385,3
1126,2389,3
1127,2390,3
1128,2391,3
1129,2393,1
1130,2395,3
1131,2400,3
1132,2401,1
1133,2402,3
1134,2406,1
1135,2407,2
1136,2408,3
1137,2411,1
1138,2412,0
1139,2414,1
1140,2417,2
1141,2421,3
1142,2429,3
1143,2430,3
1144,2438,1
1145,2442,3
1146,2447,1
1147,2448,3
1148,2451,3
1149,2452,1
1150,2454,3
1151,2455,3
1152,2457,1
1153,2458,1
1154,2460,3
1155,2463,3
